,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
23,Czechia,Europe,10739703,2652685,28469,36937,6,2446464,194,169284,252,246998,3439,48432489,4509667
24,Belgium,Europe,11667612,2521462,37435,28695,34,1974593,3441,518174,396,216108,2459,28750743,2464150
25,Thailand,Asia,70070811,2344933,7122,21971,12,2241363,7460,81599,588,33465,314,17270775,246476
26,Iraq,Asia,41616220,2125266,,24262,,2071120,,29884,68,51068,583,17093830,410749
27,Vietnam,Asia,98692426,2062128,,35972,,1756154,,270002,5409,20894,364,76406898,774192
28,Australia,Australia/Oceania,25957159,1955400,79365,2843,67,663745,,1288812,424,75332,110,59353394,2286591
29,Portugal,Europe,10150728,1950620,,19380,,1598454,,332786,160,192166,1909,30295166,2984531
30,Japan,Asia,125877660,1933052,29862,18444,10,1750636,7500,163972,281,15357,147,30924607,245672
31,Romania,Europe,19039203,1928306,,59327,,1784107,,84872,487,101281,3116,18090363,950164
32,Chile,South America,19369864,1893115,,39427,,1752349,,101339,421,97735,2035,28592041,1476110
33,Israel,Asia,9326000,1792137,,8318,,1530716,,253103,446,192166,892,41373364,4436346
34,Switzerland,Europe,8752470,1755898,,12628,,1176152,,567118,266,200617,1443,15667800,1790100
