,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
39,Serbia,Europe,8683036,1449192,0,13098,0,1284076,0,152018,102,166899,1508,7663963,882636,Europe
40,Hungary,Europe,9622481,1355084,6851,40601,94,1176855,7080,137628,217,140825,4219,9546334,992087,Europe
41,Pakistan,Asia,227505410,1333521,5034,29029,10,1264611,820,39881,827,5861,128,24239761,106546,EasternMediterranean
42,Denmark,Europe,5823686,1120943,0,3505,0,819521,0,297917,52,192480,602,113725616,19528116,Europe
43,Ireland,Europe,5022885,1109818,0,6035,0,645441,0,458342,97,220952,1202,10685379,2127339,Europe
44,Jordan,Asia,10359425,1106006,0,13004,0,1062642,0,30360,604,106763,1255,14134430,1364403,EasternMediterranean
45,Kazakhstan,Asia,19123207,1071130,9698,13087,6,973637,1142,84406,528,56012,684,11575012,605286,Europe
46,Morocco,Africa,37585521,1051830,0,14994,0,979268,0,57568,293,27985,399,11237010,298972,EasternMediterranean
47,Georgia,Asia,3977346,1006864,7521,14512,31,934667,3160,57685,0,253150,3649,13660609,3434604,Europe
48,Cuba,North America,11315943,1002499,0,8341,0,976656,0,17502,46,88592,737,12217274,1079651,Americas
49,Slovakia,Europe,5463724,884604,3933,17398,46,832164,3527,35042,348,161905,3184,5278692,966134,Europe
50,Nepal,Asia,29944907,868215,8730,11624,1,817547,562,39044,100,28994,388,5036120,168180,South-EastAsia
51,Bulgaria,Europe,6867685,830604,0,32247,0,637596,0,160761,541,120944,4695,7983725,1162506,Europe
52,Croatia,Europe,4066180,826380,7548,13212,55,763640,6406,49528,220,203233,3249,4010890,986402,Europe
53,Lebanon,Asia,6778255,826279,0,9397,0,682977,0,133905,186,121901,1386,4795578,707494,EasternMediterranean
54,UAE,Asia,10074758,811029,2792,2198,3,762379,1166,46452,0,80501,218,118750252,11786909,EasternMediterranean
55,Tunisia,Africa,12009429,791917,3905,25817,2,706291,2261,59809,118,65941,2150,3674640,305980,EasternMediterranean
56,Bolivia,South America,11918644,763392,9057,20291,37,604646,7429,138455,220,64050,1702,2653186,222608,Americas
57,Belarus,Europe,9444525,718098,1064,5850,14,710876,950,1372,0,76033,619,11357597,1202559,Europe
58,S. Korea,Asia,51337297,700102,4070,6378,45,585673,1136,108051,543,13637,124,15804065,307848,WesternPacific
59,Guatemala,North America,18426578,653555,0,16179,0,613395,0,23981,5,35468,878,3424291,185834,Americas
60,Saudi Arabia,Asia,35650086,626808,5873,8910,2,573831,4535,44067,454,17582,250,35722998,1002045,EasternMediterranean
61,Azerbaijan,Asia,10280198,626085,0,8529,0,608777,0,8779,0,60902,830,6010761,584693,Europe
62,Ecuador,South America,18056270,625059,0,34227,0,0,0,0,759,34617,1896,2187626,121156,Americas
63,Costa Rica,North America,5165897,620587,0,7421,0,565370,0,47796,79,120132,1437,3105720,601197,Americas
64,Sri Lanka,Asia,21551828,597035,0,15218,0,568373,0,13444,0,27702,706,6007118,278729,South-EastAsia
